WEEK,STORE,STORE_TYPE,STORE_SIZE,PARKING,SALES_AREA,PRODUCT,CATEGORY,MANUFACTURER,BRAND,SUBCATEGORY,SIZE,UNITS,SALES,VISITS,HHS,BASE_PRICE,PRICE,FEATURE,DISPLAY,INVENTORY
2022-05-16,101,Urban,40000,100,30000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,6,7240.92,10,10,1249,1206.82,0,1,21
2022-05-16,101,Urban,40000,100,30000,202,Laptop,Dell,XPS,XPS 13,512 GB,2,2349.1,3,3,1299,1174.55,0,1,13
2022-05-16,101,Urban,40000,100,30000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,15,16466.55,15,14,1099,1097.77,1,1,6
2022-05-16,102,Suburban,35000,120,28000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,1,1207.27,1,-1,1249,1207.27,1,0,14
2022-05-16,102,Suburban,35000,120,28000,204,Tablet,Apple,iPad,iPad Air,64 GB,9,5517.09,10,10,649,613.01,0,1,15
2022-05-16,102,Suburban,35000,120,28000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,17,18279.59,22,21,1099,1075.27,1,1,37
2022-05-16,103,Rural,20000,60,16000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,6,6859.08,6,6,1249,1143.18,1,0,2
2022-05-16,103,Rural,20000,60,16000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,20,22378.2,24,24,1199,1118.91,1,1,13
2022-05-16,103,Rural,20000,60,16000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,16,16113.28,17,16,1099,1007.08,0,1,9
2022-05-23,101,Urban,40000,100,30000,204,Tablet,Apple,iPad,iPad Air,64 GB,8,5095.28,13,12,649,636.91,1,1,17
2022-05-23,101,Urban,40000,100,30000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,11,308.88,14,12,29.99,28.08,0,0,4
